Buyer_Country,Inquiry_Text,Category
Pakistan,We need turmeric for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Nepal,We distribute towels in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 1000 pcs.,Textiles
Belgium,We are a wholesale auto parts importer. Need LED lights urgently for a contract we have won. Can you do 100 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Sweden,"Dear exporter, I am looking for authentic Indian papier mache items for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Morocco,"Looking for reliable Indian supplier for timing belts. We order quarterly, about 3000 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Kenya,Urgent requirement for silk fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 300 meters. Share TNA and payment terms.,Textiles
Hong Kong,We need turmeric for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Australia,We distribute towels in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 200 pcs.,Textiles
Sri Lanka,Our food manufacturing unit requires fenugreek seeds as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 2000 kgs per month?,Spices
Spain,"Hello, we are auto parts distributor and need filters compatible with Tata models. Please share part numbers and send technical specifications. Need 100 units for first order.",Auto Parts
Kenya,"Dear sir/madam, our company imports cotton dress material in bulk for retail distribution. We need 10000 pieces per shipment, mixed colors preferred. Can you send catalogue and best FOB price?",Textiles
Ghana,"We are an importer of agricultural commodities and need 2000 MT of dried ginger from India. Please confirm crop year, moisture content and send COA. CIF Singapore pricing needed.",Agriculture
Sri Lanka,"We want to buy silk scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 5000 pcs initial order.",Textiles
Nepal,Looking for Indian handicraft exporter for hand-painted ceramics. We have seen many products at trade fair but could not find right partner. Our requirement is 300 units for initial trial order.,Handicrafts
Germany,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need fenugreek seeds in consumer packs of 50g and 100g with our private label. Minimum 50 units per SKU.",Spices
Belgium,We want to launch Indian handicraft category in our marketplace. Need brass figurines in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Vietnam,"Hi, I am looking for Indian turmeric for export to Vietnam. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 300 tons?",Agriculture
Argentina,Our gift company imports handicrafts from various countries. Indian wooden furniture is in demand here. Please share price list for 1000 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Ghana,We are a trading company handling onion imports. Need competitive price for 1500 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Thailand,Looking for supplier of modal knitwear — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 5000 units.,Textiles
Taiwan,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Canada,"Hello, our company buys groundnuts for food processing industry. Annual volume around 800 tons. Need grade A quality with proper phytosanitary certificate. Are you direct farmer or aggregator?",Agriculture
Ethiopia,"Dear sir, our workshop chain requires filters in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 3000 pieces.",Auto Parts
Colombia,"We supply home decor to boutique stores across our country. Interested in embroidered cushion covers from Rajasthan or Gujarat region. Need 1500 pieces assorted, good packing for export.",Handicrafts
Mexico,Looking to import turmeric — we supply to supermarket chains here. Packaging should be 10 kg boxes and labeled as per Mexico import regulations. Pl confirm if you can arrange.,Agriculture
Indonesia,"Hello, I am purchasing manager at wholesale company in Tokyo. We require bed sheets made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Jordan,We distribute hosiery in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 250 pcs.,Textiles
Belgium,We import auto spare parts for African market. Looking for fuel pumps from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Saudi Arabia,Looking for supplier of polyester blended knitwear — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 1500 units.,Textiles
New Zealand,"Dear sir, our workshop chain requires filters in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 2000 pieces.",Auto Parts
Argentina,I represent a chain of boutique stores. We are interested in ethnic Indian knitwear for our festive season collection. Need 50 assorted pieces with good packaging.,Textiles
Spain,Looking to import groundnuts — we supply to supermarket chains here. Packaging should be bulk containers and labeled as per Spain import regulations. Pl confirm if you can arrange.,Agriculture
Qatar,"Dear sir/madam, our company imports cotton hosiery in bulk for retail distribution. We need 2000 pieces per shipment, dyed colors preferred. Can you send catalogue and best FOB price?",Textiles
Japan,"Hi, I am looking for Indian sesame seeds for export to Japan. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 100 tons?",Agriculture
Spain,We distribute spices to ethnic grocery stores. Looking for cardamom supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 1000 kgs CIF.,Spices
Singapore,We distribute spices to ethnic grocery stores. Looking for cardamom supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 2000 kgs CIF.,Spices
Taiwan,We are a spice blending company and require coriander powder in ground form. Consistent color and aroma is very important for our product. MOQ 1500 kgs. Can you share samples first?,Spices
Philippines,"Dear Indian spice exporter, our supermarket chain wants to launch Indian spice range. Need star anise in consumer packs of 50g and 100g with our private label. Minimum 2000 units per SKU.",Spices
Tanzania,"Looking to switch our turmeric powder supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 250 MT.",Spices
United Kingdom,"Hi, we are a garment wholesaler based in Tokyo and looking to source 50 meters of modal fabric. Need export quality with OEKO-TEX certification if possible. Pls share price list and MOQ details.",Textiles
Vietnam,"Hello, we are auto parts distributor and need timing belts compatible with Suzuki models. Please share part numbers and send technical specifications. Need 800 units for first order.",Auto Parts
Argentina,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Peru,Our company distributes aftermarket spare parts. We need LED lights with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
UAE,"We want to buy organic cotton scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 300 pcs initial order.",Textiles
Israel,"Hi, I need fuel pumps for Hyundai vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 10000 units?",Auto Parts
Turkey,Looking for Indian handicraft exporter for marble inlay items. We have seen many products at trade fair but could not find right partner. Our requirement is 300 units for initial trial order.,Handicrafts
Pakistan,"We supply home decor to wholesale stores across our country. Interested in papier mache items from Rajasthan or Gujarat region. Need 10000 pieces assorted, good packing for export.",Handicrafts
Canada,We want to launch Indian handicraft category in our marketplace. Need terracotta pottery in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Italy,"Hi, we are a garment wholesaler based in Amsterdam and looking to source 300 meters of modal fabric. Need export quality with ISO certification if possible. Pls share price list and MOQ details.",Textiles
South Africa,"Hi, I am looking for Indian wheat flour for export to South Africa. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 250 tons?",Agriculture
Turkey,Looking to import mango pulp — we supply to supermarket chains here. Packaging should be 10 kg boxes and labeled as per Turkey import regulations. Pl confirm if you can arrange.,Agriculture
Egypt,Our company distributes aftermarket spare parts. We need LED lights with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
United Kingdom,Urgent requirement for khadi fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 800 meters. Share TNA and payment terms.,Textiles
South Africa,"Hi, I am looking for Indian basmati rice for export to South Africa. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 500 tons?",Agriculture
Brazil,"Dear manufacturer, our customer needs timing belts that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 200 units per month.",Auto Parts
United States,Urgent requirement for linen fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 200 meters. Share TNA and payment terms.,Textiles
Tanzania,I am a buyer for a European departmental retailer. We want to source Fair Trade certified wooden furniture. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Switzerland,"Hello, I am purchasing manager at boutique company in Sydney. We require sarees made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
UAE,"Dear manufacturer, our customer needs timing belts that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 3000 units per month.",Auto Parts
Kenya,We are a spice blending company and require red chilli powder in ground form. Consistent color and aroma is very important for our product. MOQ 2000 kgs. Can you share samples first?,Spices
Switzerland,Looking for Indian handicraft exporter for dhokra art pieces. We have seen many products at trade fair but could not find right partner. Our requirement is 1500 units for initial trial order.,Handicrafts
Pakistan,"Dear team, we have urgent requirement for 250 MT of cashew kernels. Our previous supplier failed to deliver on time so looking for new reliable partner. Can you ship within 3 weeks?",Agriculture
Switzerland,"Hello, we import spices for food industry. Need 500 kgs of turmeric powder — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Netherlands,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Egypt,Looking to import turmeric — we supply to supermarket chains here. Packaging should be 10 kg boxes and labeled as per Egypt import regulations. Pl confirm if you can arrange.,Agriculture
Turkey,Our retail brand is launching an Indian origin wheat flour product line. We need traceable sourcing with farm details if possible. Small first order of 250 kgs to test quality.,Agriculture
Mexico,"Looking to switch our mustard seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 1500 MT.",Spices
Oman,Our company distributes aftermarket spare parts. We need LED lights with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
United Kingdom,Looking for Indian handicraft exporter for brass figurines. We have seen many products at trade fair but could not find right partner. Our requirement is 50 units for initial trial order.,Handicrafts
New Zealand,We distribute spices to ethnic grocery stores. Looking for turmeric powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 3000 kgs CIF.,Spices
Hong Kong,Our company distributes aftermarket spare parts. We need fuel pumps with 12 month warranty. What is your rejection rate? Also need to know if you have QC documentation.,Auto Parts
Vietnam,"We are an importer of agricultural commodities and need 250 MT of mango pulp from India. Please confirm crop year, moisture content and send COA. CIF Hamburg pricing needed.",Agriculture
Kuwait,Our food manufacturing unit requires cumin seeds as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 2000 kgs per month?,Spices
Germany,We are a spice blending company and require turmeric powder in ground form. Consistent color and aroma is very important for our product. MOQ 5000 kgs. Can you share samples first?,Spices
Sri Lanka,I am a buyer for a European wholesale retailer. We want to source Fair Trade certified block printed textiles. Is your company fair trade certified? Also need details on packaging.,Handicrafts
Morocco,Our retail brand is launching an Indian origin dried ginger product line. We need traceable sourcing with farm details if possible. Small first order of 1500 kgs to test quality.,Agriculture
Israel,"We want to buy khadi scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 5000 pcs initial order.",Textiles
Thailand,We want to launch Indian handicraft category in our marketplace. Need stone carvings in various price points. Can you be drop-shipping partner or do you only do bulk? Tell me your model.,Handicrafts
Sweden,"Dear exporter, I am looking for authentic Indian papier mache items for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Oman,Looking for Indian handicraft exporter for embroidered cushion covers. We have seen many products at trade fair but could not find right partner. Our requirement is 50 units for initial trial order.,Handicrafts
Taiwan,"Hi, I need alternators for Suzuki vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 5000 units?",Auto Parts
Indonesia,"Hi there, we need terracotta pottery for a hotel chain project. Around 100 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Morocco,"Looking for reliable Indian supplier for filters. We order quarterly, about 800 pcs each time. Need accurate lead time — last supplier kept delaying and it hurt our business.",Auto Parts
Thailand,"Hi there, we need hand-painted ceramics for a hotel chain project. Around 1000 pieces needed, delivery in 8 weeks. Please confirm lead time and whether customization of design/color is possible.",Handicrafts
Peru,Our food manufacturing unit requires black pepper as raw material. We do own lab testing. Need ASTA grade with full traceability documentation. Can you supply 300 kgs per month?,Spices
Nepal,We need basmati rice for our manufacturing unit. The product should be free from pesticide residue — we do strict lab testing at our end. Please share your quality certifications and last 3 shipment test reports.,Agriculture
Brazil,We distribute knitwear in our local market and need a reliable Indian exporter. Quality control is very important for us. Please send samples first before we discuss bulk order of 50 pcs.,Textiles
Nigeria,"Hi, I need timing belts for Suzuki vehicles — we have a large fleet service company. Current supplier has quality issues so looking to switch. Can you send samples before bulk purchase of 5000 units?",Auto Parts
Thailand,"Dear exporter, I am looking for authentic Indian brass figurines for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Taiwan,"Hi, I am purchasing for a restaurant chain. We need authentic Indian turmeric powder — not the diluted quality. Please share origin details and moisture content specs. Trial order 5000 kgs.",Spices
Colombia,"Hi, I am purchasing for a restaurant chain. We need authentic Indian cumin seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 50 kgs.",Spices
France,Urgent requirement for bamboo fabric rolls for our garment factory. Need consistent quality batch to batch. MOQ acceptable upto 100 meters. Share TNA and payment terms.,Textiles
Israel,"We want to buy cotton scarves and stoles for our boutique chain. Quality should be good, no compromise on that. Let me know if you can do private labeling as well. Approx 1500 pcs initial order.",Textiles
Japan,"Dear manufacturer, our customer needs radiators that meets EU quality standards. Can you confirm compliance? We will need test reports. Quantity required is 800 units per month.",Auto Parts
Pakistan,Looking for Indian handicraft exporter for wooden furniture. We have seen many products at trade fair but could not find right partner. Our requirement is 200 units for initial trial order.,Handicrafts
Nepal,"Hello, I am purchasing manager at e-commerce company in Singapore. We require hosiery made from organic cotton. Please confirm if you are manufacturer or trader? Also need OEKO-TEX cert.",Textiles
Germany,Our retail brand is launching an Indian origin basmati rice product line. We need traceable sourcing with farm details if possible. Small first order of 2000 kgs to test quality.,Agriculture
Switzerland,We import auto spare parts for African market. Looking for alternators from Indian manufacturers. Price competitiveness is key. Please send your product range and FOB prices.,Auto Parts
Germany,Looking for supplier of silk sarees — we have been buying from China but want to shift to India. Can you match competitive pricing? Our annual requirement is around 200 units.,Textiles
Egypt,"Hello sir, we are new importer trying to establish spice import business. Can you guide us on process and also quote for mustard seeds — starting small with 2000 kgs to understand market.",Spices
Egypt,Our gift company imports handicrafts from various countries. Indian brass figurines is in demand here. Please share price list for 3000 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Poland,We are a trading company handling cumin seeds imports. Need competitive price for 50 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Ethiopia,"We are an importer of agricultural commodities and need 100 MT of turmeric from India. Please confirm crop year, moisture content and send COA. CIF Mombasa pricing needed.",Agriculture
Brazil,"Hi, I am purchasing for a restaurant chain. We need authentic Indian star anise — not the diluted quality. Please share origin details and moisture content specs. Trial order 2000 kgs.",Spices
Chile,We are a wholesale auto parts importer. Need filters urgently for a contract we have won. Can you do 1500 units in 4 weeks? Please quote best price with DDP terms.,Auto Parts
Saudi Arabia,"Dear sir, our workshop chain requires engine gaskets in bulk. Quality must meet OEM standards. Can you supply with proper certification? Monthly requirement approx 2000 pieces.",Auto Parts
Israel,Our gift company imports handicrafts from various countries. Indian embroidered cushion covers is in demand here. Please share price list for 500 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Sweden,We are a trading company handling cumin seeds imports. Need competitive price for 3000 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Poland,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically embroidered cushion covers. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
Argentina,Our gift company imports handicrafts from various countries. Indian brass figurines is in demand here. Please share price list for 500 pcs MOQ. We need consistent supply every quarter.,Handicrafts
Egypt,"Dear exporter, I am looking for authentic Indian block printed textiles for my online store. Customers want handmade products with story behind them. Can you provide artisan details and provenance info?",Handicrafts
Peru,We distribute spices to ethnic grocery stores. Looking for red chilli powder supplier with consistent quality. Our customers are Indian diaspora so they know quality. Please send price for 100 kgs CIF.,Spices
Chile,Looking for Indian handicraft exporter for terracotta pottery. We have seen many products at trade fair but could not find right partner. Our requirement is 250 units for initial trial order.,Handicrafts
Indonesia,We are a trading company handling mango pulp imports. Need competitive price for 2000 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Ghana,"Looking to switch our mustard seeds supplier from current one due to quality inconsistency. If you can guarantee same quality batch to batch, we can give you our full annual volume of 300 MT.",Spices
Israel,"Hi, I am purchasing for a restaurant chain. We need authentic Indian cumin seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 3000 kgs.",Spices
Peru,We are a spice blending company and require fenugreek seeds in ground form. Consistent color and aroma is very important for our product. MOQ 1500 kgs. Can you share samples first?,Spices
Kuwait,"We supply home decor to retail stores across our country. Interested in wooden furniture from Rajasthan or Gujarat region. Need 250 pieces assorted, good packing for export.",Handicrafts
Thailand,"Hi, I am purchasing for a restaurant chain. We need authentic Indian mustard seeds — not the diluted quality. Please share origin details and moisture content specs. Trial order 250 kgs.",Spices
Italy,"Hi, I am looking for Indian mango pulp for export to Italy. Our buyer needs consistent supply throughout the year. What is your capacity per month and what is your price for 1500 tons?",Agriculture
Canada,We are a trading company handling cashew kernels imports. Need competitive price for 1000 MT consignment. L/C at sight payment acceptable. Please send proforma invoice format.,Agriculture
Sri Lanka,I represent a chain of specialty stores. We are interested in ethnic Indian bed sheets for our festive season collection. Need 1500 assorted pieces with good packaging.,Textiles
Egypt,"Hello, we import spices for food industry. Need 1500 kgs of fenugreek seeds — should be steam sterilized and free from salmonella. Please send COA and FSSAI/APEDA registration copy.",Spices
Peru,"Hello, I run an interior decor shop and looking for Indian handicraft items — specifically block printed textiles. Need unique designs, not the generic stuff. Can you share your latest catalogue with wholesale prices?",Handicrafts
